"filename", "language", "Markdown", "C++", "LinkerScript", "C", "Properties", "x86 and x86_64 Assembly", "Makefile", "comment", "blank", "total"
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/udp/udp.c", "C", 0, 0, 0, 49, 0, 0, 0, 0, 11, 60
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/network/udp/udp.h", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 7, 20
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/block.c", "C", 0, 0, 0, 70, 0, 0, 0, 0, 23, 93
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/block.h", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 15, 56
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/filesystem/fat32/fat32.c", "C", 0, 0, 0, 934, 0, 0, 0, 0, 256, 1190
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/filesystem/fat32/fat32.h", "C++", 0, 52, 0, 0, 0, 0, 0, 0, 17, 69
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/filesystem/filesystem.c", "C", 0, 0, 0, 64, 0, 0, 0, 0, 20, 84
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/filesystem/filesystem.h", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 14, 46
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/partition.c", "C", 0, 0, 0, 373, 0, 0, 0, 0, 105, 478
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/partition.h", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 17, 56
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/storage.c", "C", 0, 0, 0, 107, 0, 0, 0, 0, 31, 138
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/storage.h", "C++", 0, 16, 0, 0, 0, 0, 0, 0, 10, 26
"/mnt/HDD 500GB/Coding/Belqen/src/linker.ld", "LinkerScript", 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"/mnt/HDD 500GB/Coding/Belqen/src/os/app.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"/mnt/HDD 500GB/Coding/Belqen/src/os/app_registry.h", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 9, 33
"/mnt/HDD 500GB/Coding/Belqen/src/os/desktop.cpp", "C++", 0, 102, 0, 0, 0, 0, 0, 0, 23, 125
"/mnt/HDD 500GB/Coding/Belqen/src/os/desktop.h", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"/mnt/HDD 500GB/Coding/Belqen/src/os/font.cpp", "C++", 0, 446, 0, 0, 0, 0, 0, 0, 61, 507
"/mnt/HDD 500GB/Coding/Belqen/src/os/font.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 5, 12
"/mnt/HDD 500GB/Coding/Belqen/src/os/graphics.cpp", "C++", 0, 84, 0, 0, 0, 0, 0, 1, 23, 108
"/mnt/HDD 500GB/Coding/Belqen/src/os/graphics.h", "C++", 0, 17, 0, 0, 0, 0, 0, 0, 10, 27
"/mnt/HDD 500GB/Coding/Belqen/src/os/os.cpp", "C++", 0, 36, 0, 0, 0, 0, 0, 2, 6, 44
"/mnt/HDD 500GB/Coding/Belqen/src/os/os.h", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 5, 16
"/mnt/HDD 500GB/Coding/Belqen/src/os/os_mouse.cpp", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 6, 54
"/mnt/HDD 500GB/Coding/Belqen/src/os/os_mouse.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"/mnt/HDD 500GB/Coding/Belqen/src/os/taskbar.cpp", "C++", 0, 72, 0, 0, 0, 0, 0, 2, 16, 90
"/mnt/HDD 500GB/Coding/Belqen/src/os/taskbar.h", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"/mnt/HDD 500GB/Coding/Belqen/src/os/ui.cpp", "C++", 0, 393, 0, 0, 0, 0, 0, 1, 107, 501
"/mnt/HDD 500GB/Coding/Belqen/src/os/ui.h", "C++", 0, 44, 0, 0, 0, 0, 0, 0, 21, 65
"Total", "-", 135, 2803, 34, 7251, 4, 280, 186, 15, 2824, 13532
